Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
CLBK,"Columbia Financial, Inc.","1,566.6",0.00,0.00,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLBT,Cellebrite DI Ltd.,"3,443.6",0.00,0.00,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLDT,Chatham Lodging Trust,345.8,0.28,0.28,0.1,0.0,0.2,1.3,1.3,1.3,1.3,1.2,0.9,0.8,0.8,0.7,0.4,#N/A
CLDX,"Celldex Therapeutics, Inc.","1,487.9",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLF,Cleveland-Cliffs Inc,"4,689.3",0.00,0.00,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.6,0.6,2.2,0.8,0.5,0.3
CLFD,"Clearfield, Inc.",595.3,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLH,"Clean Harbors, Inc.","12,203.3",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLMB,"Climb Global Solutions, Inc.",464.3,0.68,0.68,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6
CLMT,"Calumet, Inc.","1,398.1",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.7,2.7,2.7,2.3,1.9,1.8,1.8
CLNE,Clean Energy Fuels Corp.,448.6,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
